text,line,length,shot
"low-arm slider, inside-edged to short leg",Unknown,Short,Unknown
"lobbed up on middle, dead-batted",Middle Stump,Unknown,Unknown
"flighted on off, jabbed back to Hearth",Off Stump,Unknown,Unknown
"really full on leg stump, dug out",Leg Stump,Full,Unknown
"short and angling in on middle, blocked to cover",Middle Stump,Short,Defend
"good length at middle, blocked off the back foot to mid-on",Middle Stump,Good Length,Defend
"short and outside off, Mahmudullah sways his upper body out of the way",Outside Off,Short,Unknown
"short and angling away, rides it with soft hands to gully",Unknown,Short,Unknown
"back of a length and angling across off, Mahmudullah handsomely punches it with the angle to sweeper cover's right",Unknown,Short,Unknown
"bouncer on leg or just outside leg, the batsman ducks under it",Unknown,Short,Unknown
"full and spins in on off stump, blocked to short leg with the break",Off Stump,Full,Defend
"full and keeps low on off, the batsman goes low with it and defends to the leg side",Off Stump,Full,Defend
"tossed on off, blocked off the front foot",Off Stump,Unknown,Defend
"tossed up on off, dips sharply, inside-edged to short leg",Off Stump,Short,Unknown
"short, wide, chopped away to backward point off the back foot",Unknown,Short,Unknown
"very full on off, dead-batted by Mosaddek",Off Stump,Full,Unknown
"skids on outside off, sliced to backward point",Outside Off,Unknown,Unknown
"tossed outside off, grazes the outside edge and sneaks away past slip",Outside Off,Unknown,Unknown
"short, wide, begging on its knees to be slapped away. Mosaddek obliges and hits it firmly through point",Unknown,Short,Unknown
"darted outside off, opens the face and steers to deep point",Outside Off,Unknown,Unknown
"short and turns in, chopped only as far as cover",Unknown,Short,Unknown
"tossed outside off, eased to cover off the front foot",Outside Off,Unknown,Unknown
"dropped short and wide outside off, Mahmudullah ventures deep in the crease and flays it away through cover-point",Outside Off,Short,Unknown
"full on off stump, defended into the covers",Off Stump,Full,Defend
"tossed up on middle, patted to wide mid-on",Middle Stump,Unknown,Unknown
"flighted on middle, defended off the front foot",Middle Stump,Unknown,Defend
"full and outside off, driven to cover",Outside Off,Full,Drive
"dangled up on middle, Mahmudullah covers up in defence",Middle Stump,Unknown,Unknown
"floated up just a shade outside off, tapped to cover off the front foot",Outside Off,Unknown,Unknown
"full and breaks back in on off stump, Mosaddek reads it off the pitch and blocks it",Off Stump,Full,Defend
"much fuller and turns in on off stump, played back to the bowler",Off Stump,Unknown,Unknown
"full and turns into the pads, nudged off the back foot to short fine leg",Unknown,Full,Unknown
"back of a length and cramps the batsman for room, chopped from off stump to point",Off Stump,Short,Unknown
"full and turns in from outside off, Mosaddek prods at it and sends an inside edge to the left of short leg",Outside Off,Full,Unknown
"full and breaks in, prodded in the air to the right of short leg now",Unknown,Full,Unknown
"full on the stumps, Mosaddek plays back and defends it to the leg side",Down Leg,Full,Defend
"tossed on off stump, poked to the covers",Off Stump,Unknown,Unknown
"full on off, Mosaddek gets his front leg out of the way and defends watchfully",Off Stump,Full,Defend
"full on off, dead-batted by Mosaddek",Off Stump,Full,Unknown
"full and wide outside off, breaks away further, Mahmudullah aims a big drive at the googly and only collects fresh air",Outside Off,Full,Drive
"full and breaking down the leg side, left alone",Down Leg,Full,Leave
"tossed up on off, pushed back to the bowler",Off Stump,Unknown,Unknown
"shortish and outside off, steered to deep point",Outside Off,Unknown,Unknown
"skids into leg stump, defended to short leg",Leg Stump,Short,Defend
"dangled up outside off, draws the batsman forward and runs past the outside edge. Mosaddek drags his back leg in time even as the keeper flips the bails off swiftly",Outside Off,Unknown,Unknown
"short legbreak on off, punched on the up to sweeper cover",Off Stump,Short,Unknown
"follows it with a half-tracker outside off, swatted away to wide long-on off the back foot",Outside Off,Unknown,Unknown
"dragged down outside off, forced off the back foot to cover",Outside Off,Unknown,Unknown
"full-toss on middle, simply bunted back to Kusal Mendis",Middle Stump,Full,Unknown
"tossed on off, run away to point with soft hands",Off Stump,Unknown,Unknown
"Googly. full, drifts in towards off, then viciously turns past the bat as Mosaddek plays all around it",Unknown,Full,Unknown
"full on middle, hangs back and pushes the ball to midwicket",Middle Stump,Full,Unknown
"tossed very full on middle, dropped to the leg side from the crease",Middle Stump,Full,Unknown
"full and turns back in at off stump, dead-batted by Mosaddek",Off Stump,Full,Unknown
"<strong>wild full ball breaking down leg</strong>, left alone",Down Leg,Full,Leave
"very full on off stump, he hangs back and squeezes the ball back to Sandakan",Off Stump,Full,Unknown
"full and tailing in, left alone outside off",Outside Off,Full,Leave
"short, wide, slashes a cut to point",Unknown,Short,Cut
"back of a length, sticks the bat out and gets beaten",Unknown,Short,Unknown
"full, presents a straight bat and pushes to mid-on",Unknown,Full,Unknown
"shortish, pulled to fine leg",Unknown,Unknown,Pull
cramps him up with a short one on leg. Zhuwao pulls almost as if out of habit and gets a top-edge that is neatly taken by short fine running forward,Unknown,Short,Pull
"shortish, shuffles and blocks into cover",Unknown,Unknown,Defend
"short of a length, gets a glove as he nudges to fine leg",Unknown,Short,Unknown
"full, shaping away, left alone",Unknown,Full,Leave
"full on off, driven to cover",Off Stump,Full,Drive
"back of a length, flicked with the angle to square leg",Unknown,Short,Flick
slashes a short one to deep point,Unknown,Short,Unknown
overcompensation from the bowler. This one's flicked off the pads through backward square leg,Unknown,Unknown,Flick
left alone outside off,Outside Off,Unknown,Leave
walks into the shot as this length ball cuts away off the seam and rips past the outside edge,Unknown,Unknown,Cut
"short, wide, cut past the right of point",Unknown,Short,Cut
opens the face and blocks to point,Unknown,Unknown,Defend
punches to point and takes off. Direct hit at keeper's end could have had Masakadza in trouble,Unknown,Unknown,Loft/Smash
"accurate lines around off, left alone",Unknown,Unknown,Leave
"length on middle and leg, flicked to the right of mid-on",Middle Stump,Unknown,Flick
"fuller outside off, blocked to cover",Outside Off,Unknown,Defend
"short of good length, backfoot defence to cover",Unknown,Good Length,Unknown
"short, angling in from outside off, uses the angle to crunch a pull over cow corner. Monstrous six",Outside Off,Short,Pull
"short and wide, worked to third man",Unknown,Short,Unknown
"full outside off, driven with an open face to backward point",Outside Off,Full,Drive
"full around off, blocked",Unknown,Full,Defend
"short of good length on off, kept out",Off Stump,Good Length,Unknown
"similar length on off, defended back",Off Stump,Unknown,Defend
"full toss, slips out, flicked through midwicket",Unknown,Full,Flick
"short, gets too big as it beats the attempted pull and smashes into the helmet. In fact, it sits in between the top of the helmet and the grille. Need a minute or two to recover from that. The physio sprints out and immediately performs a concussion test",Unknown,Short,Pull
"full, tails away from around a set of stumps outside off, left alone",Outside Off,Full,Leave
pushes early into a drive and <b>chips it in the air</b> but it lands well short of cover moving to his right,Unknown,Short,Drive
"short of a length, left alone outside off as it holds its line",Outside Off,Short,Leave
"crunching cover drive. A wide half-volley, covers the line with a big stride across and times it sweetly",Unknown,Full,Drive
"full, holding its line, left alone outside off",Outside Off,Full,Leave
"short, well outside off, sways out easily",Outside Off,Short,Unknown
accurate again and left alone outside off,Outside Off,Unknown,Leave
"good length, crunched to extra cover",Unknown,Good Length,Unknown
"short of a length on middle, nudged to square leg",Middle Stump,Short,Unknown
"short of a length, left alone outside off",Outside Off,Short,Leave
"full, closes the face and drills to square leg",Unknown,Full,Unknown
"short, cuts in to him as he inside-edges to the pad",Unknown,Short,Cut
"short of a length, defended off the outside of the bat to point",Unknown,Short,Defend
"short of length, pats it to mid-on for a tight single",Unknown,Short,Unknown
good leave outside off as it angles away,Outside Off,Unknown,Leave
"good length, defended tightly to mid-off",Unknown,Good Length,Defend
"short, angled away, hardly has to sway",Unknown,Short,Unknown
"full on middle, punched to mid-on",Middle Stump,Full,Unknown
defended to the on side,Unknown,Unknown,Defend
"straightening on middle, punched to long-on",Middle Stump,Unknown,Unknown
flicked to deep midwicket with the turn,Unknown,Unknown,Flick
"floated up on middle, driven to mid-off",Middle Stump,Unknown,Drive
forward and driven to cover,Unknown,Unknown,Drive
pitched up and eased down to long-off,Unknown,Full,Unknown
chases a very wide one that drifts away further to leave him beaten,Unknown,Unknown,Leave
"full and accurate on off, blocked to mid-off",Off Stump,Full,Defend
"length, defended down the pitch",Unknown,Unknown,Defend
left alone outside off as he sees some movement,Outside Off,Unknown,Leave
"short of a length, punches and cover gets down to his right to stop it",Unknown,Short,Unknown
"length around off, blocked",Unknown,Unknown,Defend
"short, gets under it. Too high, deems the umpire",Unknown,Short,Unknown
"short of a length, beats the flick and hits the pad. The high part of it",Unknown,Short,Flick
"floated up outside off, driven to cover",Outside Off,Unknown,Drive
nudged away to short fine and takes on the fielder for a quick single,Unknown,Short,Unknown
beats short third man to his left with a well-timed reverse sweep,Unknown,Short,Sweep
defended back to the bowler,Unknown,Unknown,Defend
"short of a length on off, blocked",Off Stump,Short,Defend
"similar length but a bit more width outside off, and Taylor punches it off the backfoot through the right of point",Outside Off,Unknown,Unknown
"bouncer, angled in towards off, Taylor sways out of the line late",Unknown,Short,Unknown
"short of good length outside off, stops on him a little, and he mistimes his block",Outside Off,Good Length,Defend
"floated up on middle, flicked to midwicket and thinks of a run but is sent back",Middle Stump,Unknown,Flick
"full outside off, blocked",Outside Off,Full,Defend
"fullish on middle and off, blocked",Off Stump,Unknown,Defend
slides across and he finds the outside of the bat as he defends,Unknown,Unknown,Defend
"good length on middle and leg, defended off the inside of the bat",Middle Stump,Good Length,Defend
flicks a length ball through square leg,Unknown,Unknown,Flick
misses a flick and gets hit high on the pad again. They don't bother appealing,Unknown,Unknown,Flick
gets behind the line and solidly blocks into the off side,Unknown,Unknown,Defend
<b>nearly chopped on</b>. Chases one outside off with a half-angled bat and gets an inside edge to fine leg,Outside Off,Unknown,Unknown
"slider into middle and leg, tucked wide of midwicket",Middle Stump,Unknown,Unknown
"drifts away a quicker delivery across the left-hander, he lunges forward and defends",Unknown,Unknown,Defend
"top shot. Drops short, he rocks back to make room and crashes this behind point. Sublime timing. Lovely use of the crease from Ervine",Unknown,Short,Unknown
"touch short on middle and leg, turns this to deep square leg",Middle Stump,Short,Unknown
"nice flight, lands this on off, defended with the spin to the bowler",Off Stump,Unknown,Defend
"lands a length ball on middle from around the stumps, defended back",Middle Stump,Unknown,Defend
driven wide of mid-off as he scampers a run. Good work by Holder to get to the ball and fire a throw at the bowler's end,Unknown,Unknown,Drive
"angles in a short of length delivery on off stump from wide of the crease, defended back with soft hands",Off Stump,Good Length,Defend
<strong>uppish but safe.</strong> Looks to work this incoming length ball into the leg side. Rolls towards deep square leg. Hit the top part of the bat,Down Leg,Unknown,Loft/Smash
stands tall and punches this short of length delivery to extra cover,Unknown,Good Length,Unknown
"full and drifting in, worked towards short midwicket",Unknown,Full,Unknown
"touch short, punched back. Good work in moving to his left and stop it on the followthrough",Unknown,Short,Unknown
lunges forward and defends this tossed up delivery to cover,Unknown,Unknown,Defend
"brings out the reverse sweep and he's played that quite beautifully. Rolled his wrists over the ball nicely and played it all along the ground wide of slip. Beat short third man too. This was spinning away from middle and off, so he was going with the spin",Off Stump,Short,Sweep
"floats this full on off stump, defended",Off Stump,Full,Defend
"beaten by one that keeps low. This was bowled full outside off, he looked to defend but played inside the line",Outside Off,Full,Defend
chopped on! Roach has struck and this is a result of all the pressure he built. Ervine looks to steer this behind point but is cramped for room and ends up getting a thick inside edge onto the leg stump. This was a cross-seam delivery that skidded on much faster than Ervine expected.,Leg Stump,Unknown,Unknown
"slash and a miss. <strong>What a shot first up!</strong> Excellent short ball from Roach outside off, this got big on him as he swiped at that. Not far from the edge",Outside Off,Short,Unknown
crunching cover drive to get off the mark. Much more like it. Leans into the drive and caresses this between cover and point,Unknown,Unknown,Drive
sways out of the way of this short ball outside off,Outside Off,Short,Unknown
"slapped into the gap at deep point. Nailed this. Short and this deserved to be put away. Every now and then, Bishoo has a tendency of dropping shot. Key is to seize on the opportunity. Two boundaries now off the last four deliveries he's bowled",Unknown,Short,Unknown
right to the pitch of the ball as he drives to mid-off,Unknown,Unknown,Drive
"flatter one on middle, gets this to bite back in, defended to midwicket",Middle Stump,Unknown,Defend
"rocks back and slaps this short ball to deep point, back for the second quite comfortably",Unknown,Short,Unknown
"drops this short, Taylor cuts to deep cover",Unknown,Short,Cut
"back of length on middle and leg, worked towards square leg",Middle Stump,Unknown,Unknown
right forward as he defends to the off side,Unknown,Unknown,Defend
"hustled for pace with a short ball angling in from around the stumps, he somehow manages to fend that away",Unknown,Short,Unknown
"once again caught hopping back as this length ball angles in, defended with soft hands",Unknown,Unknown,Defend
"slashed uppishly but gets this wide of third man. Too much width, asking to be hit and he gave it the thwack even though it didn't go where he intended.",Unknown,Unknown,Loft/Smash
defends this gently into the off side,Unknown,Unknown,Defend
"<strong>the orthodox sweep now, to follow the reverse!</strong> Takes this on the full and sweeps this indrifter to the fine leg boundary. Delightfully done.",Unknown,Full,Sweep
punched across the line to short midwicket,Unknown,Short,Unknown
"tossed up on leg stump, worked with the spin towards deep midwicket. Roach was waiting for the ball to come instead of attacking, Williams chanced the second and made it comfortably",Leg Stump,Unknown,Unknown
lovely drive down to long-off,Unknown,Unknown,Drive
"short on middle, punched to cover",Middle Stump,Short,Unknown
"tossed up on leg stump, sharp turn on that. Defended from the crease",Leg Stump,Unknown,Defend
shows the full face of the bat to ease this down to long-on,Unknown,Full,Unknown
"drifts in a quicker ball on the stumps, blocked.",Unknown,Unknown,Defend
pulled imperiously towards Bishoo at deep square leg,Unknown,Unknown,Pull
"slower length ball on the stumps, dabs towards the leg side. Looks for a single but sent back",Down Leg,Unknown,Unknown
defends this length ball on off from the crease. Gets a bit of inside edge onto the pad,Off Stump,Unknown,Defend
"so, so clever but he may not looked at it with fond memories had he gloved this to slip. Holder slips in a short ball on off stump, Taylor was initially looking to duck, then he swayed away and very belatedly decided to ramp this over. Hit this off the middle too.",Off Stump,Short,Loft/Smash
"drifts into middle and leg, worked towards the man coming in from long on",Middle Stump,Unknown,Unknown
"short ball spinning back into middle from length, punched into the gap at cover",Middle Stump,Short,Unknown
lunges a long way forward and defends back to the bowler,Unknown,Unknown,Defend
"tossed up on middle and leg, he lunges forward and works this into the leg side",Middle Stump,Unknown,Unknown
lunges forward and defends this full delivery towards cover,Unknown,Full,Defend
"crashed wide of point. This was too short, sitting up nicely and Taylor slapped this to beat square third man. <B> 32nd ODI fifty for him, second against West Indies </b>",Unknown,Short,Unknown
shows the full face of the bat and defends back,Unknown,Full,Defend
defended back to the bowler,Unknown,Unknown,Defend
gets across the stumps and helps this over midwicket. Looked to scoop this over short fine but toe-ended this. Lucky this didn't land into the hands of the fielder,Unknown,Short,Unknown
"too short and sliding down leg, Ervine uses the depth of the crease to whip this behind square. Bishoo can't get there from deep midwicket. Lovely roll of the wrists to pick the gap.",Down Leg,Short,Unknown
"makes room to cut but this one keeps a touch low, chops this into the off side",Unknown,Unknown,Cut
"this is the slog sweep and boy, he's connected this or what. No chance for deep square. This was nicely tossed up on off stump, down on one knee as he heaves this over the ropes. Lovely shot, hitting with the spin",Off Stump,Unknown,Sweep
"<b> Taylor survives by the skin of his teeth! </b> Sliced to third man as he looked to go over cover, Roach ran in quickly from third man, dived forward and took this on the half-volley. <b> Immediately signalled that he hadn't taken it. </b>",Unknown,Full,Unknown
pulled but <strong>this is a miscue</strong> that lands short of deep square,Unknown,Short,Pull
gets a long way forward and smothers this full delivery,Unknown,Full,Unknown
flay and a miss. Beaten by the slowness of this length ball outside off,Outside Off,Unknown,Unknown
"fired full on the stumps, blocked",Unknown,Full,Defend
magnificent stroke. Taylor's brilliance to the fore. The reverse sweeps and ramps put on the backburner. This time he makes room and lofts this cleanly over the infield. Superb,Unknown,Unknown,Sweep
"the lap sweep this time. Fired full down leg, Taylor is down on this quickly and deflects. Looks like he was trying to go for a full-blooded sweep but changed his stroke very quickly. So delicate, very effective",Down Leg,Full,Sweep
"loses his direction, fired down leg. Looks to paddle fine but misses.",Down Leg,Unknown,Unknown
"nails this pull. Sensational. There was long-on, deep square, so he swivels back and muscles this into the gap at deep midwicket.",Unknown,Unknown,Pull
"pulled straight into the hands of midwicket. Keemo Paul sends the crowd into stunned silence. Went back to over the wicket for this short ball, Williams went fore the pull but had to fetch it from outside off, unlike the previous delivery where the ball was angling in, and he hit this straight into the hands of the fielder.",Outside Off,Short,Pull
"short of a length, drifts down the leg side",Down Leg,Short,Unknown
"cuts into him from a back of a length and keeps a little low, kept out",Unknown,Short,Cut
"back of a length, covers the line and blocks",Unknown,Short,Defend
"short of a length, angled down the leg side",Down Leg,Short,Unknown
"length on middle and off, blocked",Off Stump,Unknown,Defend
"pitched up on off, blocked",Off Stump,Full,Defend
"too full and too much width, a booming drive through the covers",Unknown,Full,Drive
"short, spins away outside off and keeps a little low, heaves a pull through midwicket",Outside Off,Short,Pull
"short, spinning away, punched to deep backward point",Unknown,Short,Unknown
full and driven to cover,Unknown,Full,Drive
"short again, cut to sweeper",Unknown,Short,Cut
"short of a length on leg stump, pats it into the on side",Leg Stump,Short,Unknown
jumps to deal with the bounce of this short one and keeps it out on the leg side,Down Leg,Short,Unknown
"short, gets over his arched back and down the leg side",Down Leg,Short,Unknown
"short of a length outside off, defends off the backfoot",Outside Off,Short,Defend
"back of a length on off, blocked off the backfoot",Off Stump,Short,Defend
presses forward to defend and finds the inside of the bat as the ball slides on,Unknown,Unknown,Defend
"pitched up outside off, driven to long-off",Outside Off,Full,Drive
driven to the sweeper on the off side,Unknown,Unknown,Drive
"flat and slid into middle, Taylor gets down and sweeps backward of square leg",Middle Stump,Unknown,Sweep
"floated up outside off, driven to long-off",Outside Off,Unknown,Drive
"a blazing drive over extra cover. Too full, allows Raza to get right underneath it and flay it over the infield",Unknown,Full,Drive
"back of a length, cuts in, blocked down the pitch",Unknown,Short,Cut
"full and angling into the pads, clipped away to deep midwicket",Unknown,Full,Unknown
"back of a length, angled in at off, defended",Unknown,Short,Defend
"<b>huge shout for leg before, but was the impact outside off?</b> Nah, seems really close. Angles in from wide outside and hits Taylor painfully on the back leg. Given a leg bye, so got to wonder if height was the issue then",Outside Off,Unknown,Unknown
"short of a length outside off, punched to long-on",Outside Off,Short,Unknown
<b>up and over extra cover</b>. Backs away and forces a cut that just about gets past Nurse leaping with his hands stretched out,Unknown,Unknown,Cut
shot. Plants the foot across and brings out the reverse sweep to split short third man and backward point,Unknown,Short,Sweep
"and now the conventional sweep, straight to short fine leg",Unknown,Short,Sweep
"short of a length on off, opens the face and runs down to third man",Off Stump,Short,Unknown
leaves it alone as it angles in from outside off,Outside Off,Unknown,Leave
"full on the stumps, pushed straight down to mid-on",Unknown,Full,Unknown
"fullish length on off, blocked to cover",Off Stump,Unknown,Defend
there's the hundred. And it comes with the favoured reverse sweep. Neatly splits short third man and backward point with precision and pumps his arms. Zimbabwe's old workhorse with another finely-composed innings,Unknown,Short,Sweep
"short of a length, non-turner outside off, punched to the left of extra cover",Outside Off,Short,Unknown
"extremely full on the stumps, squeezed out back",Unknown,Full,Unknown
"full on middle and off, driven through cover",Off Stump,Full,Drive
"length outside off, opens the face really late for a dab to third man",Outside Off,Unknown,Unknown
gets down for another sweep but it's not full enough and he gets a top-edge that lobs away over the keeper,Unknown,Full,Sweep
"short and wide, slaps it over and sweeper runs to his right to tidy up",Unknown,Short,Unknown
pushes with hard hands away from the body and gets an outside edge that bounces just in front of short third man,Unknown,Short,Unknown
"short of a length, punches in front of off to long-off",Unknown,Short,Unknown
"full on middle, driven back off the inside of the bat",Middle Stump,Full,Drive
"shortish, not enough room and he mistimes a pull to deep midwicket",Unknown,Unknown,Pull
now he gets enough room and it's way too full outside off. Bishoo's got his lengths all horribly mixed up today. Slogged miles into the grassbanks at cow corner,Outside Off,Full,Unknown
"short and wide outside off, slashed over point and gets this down to square third man",Outside Off,Short,Unknown
right behind the line as he defends this full delivery on the stumps,Unknown,Full,Defend
defended gently into the off side,Unknown,Unknown,Defend
"short of length outside off, glides this down to short third man",Outside Off,Short,Unknown
"width outside off, bunted past the keeper again, did so very late. Another single",Outside Off,Unknown,Unknown
"touch fuller on off stump, defended back",Off Stump,Unknown,Defend
"had to really hurry, but all good in the end. Dabbed this towards short midwicket and hared across. Bishoo was quick to run in and fire a throw, <strong>a direct hit and he would've been gone</strong>",Unknown,Short,Loft/Smash
"drills this to mid-off. Backed away to go over cover, hit this absolutely flat instead. Uppish, just landed short of Holder",Unknown,Short,Loft/Smash
"short and angling in, he swivels back and helps this down to fine leg",Unknown,Short,Unknown
"the captain's done the trick, or has he? Off the pad and onto the stumps. Big, big scalp. This is clever bowling, sees the batsman looking to make room and followed him by angling this full down leg, Raza cramped for room as he looked to work this to the leg side, as the ball deflects off the pad onto the stumps. Raza was halfway down towards the dressing room when he was called back. <strong>That's because Holder has overstepped. Oh, dear.</strong> But that's been deemed legitimate. Big moment either way. The third umpire took a number of looks at that and deemed that a legal delivery. Harsh call, perhaps. There was nothing behind the line. Streak called it a no-ball from the dressing room, but was shocked at the eventual decision like many others.",Down Leg,Full,Unknown
full toss that he punches to mid-off and scampers a run,Unknown,Full,Unknown
works this full delivery from middle towards deep midwicket,Middle Stump,Full,Unknown
defended back towards the bowler.,Unknown,Unknown,Defend
"banged in short but way over his head outside off, wide called and rightly so",Outside Off,Short,Unknown
"slips in a superb yorker which he squeezes through a thick inside edge past leg stump, down to fine leg",Leg Stump,Yorker,Unknown
"full toss on the pads, helped down to fine leg",Unknown,Full,Unknown
"gloves this short ball back to the bowler. Cremer is completely undone by the short ball, his technical shortcomings exposed as Roach bowls this at an uncomfortable length. He wasn't sure where this delivery was and hung his glove out. West Indies are fighting back and how",Unknown,Short,Unknown
"spears in an excellent yorker on the stumps from around the wicket, squeezed to the leg side",Down Leg,Yorker,Unknown
"slower length ball on off, punched to sweeper cover",Off Stump,Unknown,Unknown
"shows the full face of the bat in defence, once again he attacks the stumps with a full delivery",Unknown,Full,Unknown
"full toss outside off, driven firmly to deep cover",Outside Off,Full,Drive
"swing and a miss. This was another full stop angling in, looked to heave this over midwicket but played too early",Unknown,Full,Unknown
"width outside off, he glides this down to third man",Outside Off,Unknown,Unknown
"ripper of a yorker on middle stump, squeezed to fine leg",Middle Stump,Yorker,Unknown
"<strong>clever ramp stroke. </strong>Too short and angling away, Chisoro hangs back, uses the extra pace and helps this wide of the keeper. Third man was too square",Unknown,Short,Unknown
"right into the blockhole, squeezed back.",Unknown,Yorker,Unknown
squeezed this off a thick inside edge to the leg side,Down Leg,Unknown,Unknown
"beaten by a superb delivery. The length is much fuller from outside off, grips the surface and straightens",Outside Off,Unknown,Unknown
"looks to flick, miscues this over midwicket",Unknown,Unknown,Flick
"right into the blockhole, looks to hoick this across the line but squeezes the inside edge onto the pad, deflects to the off side",Unknown,Yorker,Unknown
"once again a ripper of a yorker, down to long-on",Unknown,Yorker,Unknown
squeezes this yorker-length delivery down to long-on,Unknown,Yorker,Unknown
"another full and straight delivery towards the base of off stump from around the wicket, squeezed to long-off",Off Stump,Full,Unknown
"angles in a full ball on middle and leg, worked towards deep midwicket",Middle Stump,Full,Unknown
"he's clobbered this deep over the midwicket fence and Harare Sports Club roars! This is a slower length ball that sits up nicely for him to swing through, and boy, he hit that really, really well.",Unknown,Unknown,Loft/Smash
down on one knee as he slices this full toss to the cover point fence. Opened the bat face deliberately to play it there. <strong>Any doubts of his vision can now be put to bed. Sensational</strong>,Unknown,Full,Unknown
"excellent yorker, somehow manages to jam his bat down in time to squirt this to the bowler.",Unknown,Yorker,Unknown
"touch ahead of length on middle, flat-batted to long-on",Middle Stump,Unknown,Unknown
"got him with a beauty of a yorker. This is terrific. Full, straight and honing in towards base of middle from wide of the crease, Mire went for the big hit over long-on, swung through early and heard the ball rattle into the stumps.",Middle Stump,Yorker,Loft/Smash
"slips in a full ball towards Jarvis' toe, he somehow manages to keep that out from rolling back onto the stumps.",Unknown,Full,Unknown
"wild swing down to long-on, far from the middle, won't risk the second",Middle Stump,Unknown,Unknown
"yorker length delivery angling in, squeezes off the pad to the off side as they scamper a leg bye",Unknown,Yorker,Unknown
"back of length delivery outside off, he backs away and squeezes this down to long-off",Outside Off,Good Length,Unknown
"squeezed towards long-off, there's a scurry for the second but the throw is superb at the keeper's end as the bails are whipped off. He's well short of the crease. Bowled out off the final ball.",Unknown,Short,Unknown
"short of a length, wide outside off, keeps his bat inside the line",Outside Off,Short,Unknown
"same length but this time the line's straighter, and Gayle flicks off the hips to midwicket",Unknown,Unknown,Flick
"short of a length outside off, punched to cover",Outside Off,Short,Unknown
"length ball on middle and off, blocked",Off Stump,Unknown,Defend
"full outside off, driven to the right of the bowler",Outside Off,Full,Drive
flicked off the pads to square leg,Unknown,Unknown,Flick
"full on the stumps, defended off the front foot",Unknown,Full,Defend
gets down for a sweep but misses as the ball goes down the leg side,Down Leg,Unknown,Sweep
"short and wide, gets on top and middles a punch to cover",Unknown,Short,Unknown
"slower full ball at 108ks on middle and off, defended",Off Stump,Full,Defend
"<b>just over mid-on</b>. Had to fetch this pull from outside off, and Lewis mistimed it but had enough power to clear Jarvis",Outside Off,Unknown,Pull
"short and wide, another mistimed cut, chopped to point",Unknown,Short,Cut
"short ball, slower at 114kmph, picked early by Lewis who times a powerful pull that beats deep midwicket diving to his left",Unknown,Short,Pull
"short, wide, cut to point",Unknown,Short,Cut
"pitched up on middle and leg, driven out",Middle Stump,Full,Drive
blocked into the off side,Unknown,Unknown,Defend
"<b>in the air and safe</b>. No deep midwicket in place for Gayle, would you believe it? Gets down to sweep and gets a top-edge and lands safe in the deep square leg region",Unknown,Unknown,Sweep
walks down the ground and flicks in front of mid-on. Expensive over from Raza,Unknown,Unknown,Flick
shuffles across and punches a back of a length delivery to mid-off,Unknown,Good Length,Unknown
"good length outside off, takes the front foot across and blocks down the pitch",Outside Off,Good Length,Defend
"short of a length, jumps and punches to cover",Unknown,Short,Unknown
"short of good length, stops a little outside off, pushed uppishly but lands in front of point",Outside Off,Good Length,Unknown
"finally he's found the gap! Only barely, though, but he'll take it. Another short of a length delivery with ample width, and he's punched it away off the backfoot",Unknown,Good Length,Unknown
"short of a length on middle, blocked",Middle Stump,Short,Defend
"short, angled across, tries to pull and gets beaten",Unknown,Short,Pull
there goes Gayle. Blessing strikes early to get the crowd all worked up. And it's the big fish. It's short and angled across and Gayle scythes at it.The sharp angle and extra bounce results in the ball skewing off the outside edge of the lower part of the bat and lobbing to third man,Unknown,Short,Unknown
"short, a charged-up bouncer outside off, Hope sways out of the line",Outside Off,Short,Unknown
"that's a flat six. Can't bowl there to Lewis, who swivels and helps along a short ball off the hips over backward square leg",Unknown,Short,Unknown
"back of a length, shuffles across and lets it go",Unknown,Short,Unknown
"good length, outside off, left alone",Outside Off,Good Length,Leave
"short of a length, angled across, shuffles across and lets it go",Unknown,Short,Unknown
shuffles and blocks a back of a length delivery to cover,Unknown,Good Length,Defend
"short of a length, shifts back and keeps it out",Unknown,Short,Unknown
"<b>oh, missed chance, but what an effort!</b> Would have been one of the finest ever if he'd pulled it off. Top-edge on the pull and the fielder at deep backward square runs to his right and dives forward and gets a palm to it as he sticks the right hand out. While the catch may not have been taken, he's saved four, Kyle Jarvis!",Unknown,Unknown,Pull
flicked off the pads behind square,Unknown,Unknown,Flick
"short of a length on the stumps, blocked to point",Unknown,Short,Defend
"short of a length, angled across, left alone",Unknown,Short,Leave
"back of a length, angled across, left alone",Unknown,Short,Leave
"full on leg, pushed back",Unknown,Full,Unknown
"back of a length, shuffles and drops in front of mid-on for a quick one",Unknown,Short,Unknown
"short of a length, holding its line, left alone outside off",Outside Off,Short,Leave
"short of a length outside off, punched to point",Outside Off,Short,Unknown
"angled across outside off, left alone",Outside Off,Unknown,Leave
"back of a length, flicked to short fine off the pads",Unknown,Short,Flick
"cuts in off the seam to find the inside edge as he defends, and goes into the leg side",Down Leg,Unknown,Cut
"short outside off, fails to get entirely on top of it and miscues his slash off the inside of the bat",Outside Off,Short,Unknown
"back of a length, blocked off the backfoot",Unknown,Short,Defend
"short again and he gets hold of this one alright, smashes a pull over deep midwicket",Unknown,Short,Pull
"short of a length, nips in and gets past the inside edge as he punches",Unknown,Short,Unknown
